Afiliate number,Active,Name,FirstName,LastName,Email,WorkPhone,WhatsApp,Address,Web,Descripcion,City,Maps,Location,Discount,Logo,Facebook,Instagram,Category,Sub-Categoria,Service,Type,Sticker,Rating,Recommended,TyC
11,TRUE,Alta Gula,Julian,Re,altagulaislaholbox@gmail.com,9842077017,,"Carito y Porfirio Díaz, 77310 Holbox, Q.R.",https://holboxdelivery.wixsite.com/holboxdelivery?fbclid=PAAaZ00S_wV_j9nZ99n2dcVASYvO_55p_-rkcC-VngiQg1E4Y9c30r8FtpWzY,Corner of authentic Argentine food.,Holbox,https://maps.app.goo.gl/aWoiK73DA7RGMfV67,"21.524305957908286, -87.3777912350789",10% discount,https://drive.google.com/file/d/1sULxTsNS1zhprZ11MeUGbxH8tVihkAyX/view?usp=drive_link,https://www.facebook.com/profile.php?id=100075700224249&locale=es_LA,https://www.instagram.com/altagulaholbox/,Restaurant Argentinian,Argentinian,,Restaurants,Yes,1,FALSE,NO
12,TRUE,A´jijo,Manolo,Gonzalez ,tiezo29@outlook.es,4776485648,4776485648,Av. Satélite entre sagitario y polar,https://www.ajijotulum.com/,Flavors of the Sea & Drinks,Tulum,https://maps.app.goo.gl/82NmzEPSv1S2Hcmc7,"20.21454086139138, -87.45885636138263",10%,https://drive.google.com/file/d/1aN7ubf-K1nDlbYBsmMdBx8C6VTaKTeE3/view?usp=drive_link,,https://www.instagram.com/ajijotulum?utm_source=qr,Restaurant Mariscos/Seafood,Seafood/Seafood,,Restaurants,Yes,1,FALSE,NO
14,TRUE,Amelia Club Café,Guillermo,,info@smart-oostel.com,9371275430,9371275430,"Calle Polar Pte. 153, Tulum Centro",https://www.smart-oostel.com/,Coffee,Tulum,https://maps.app.goo.gl/TmrhaJ9F2hdHnnuw6?g_st=ic,"20.211626334341823, -87.4650251288364",10%,https://drive.google.com/file/d/1ugvMCbCSUGhMdYuUn5sm5zffT0neBkDt/view?usp=drive_link,https://www.facebook.com/oOstelSmartHostel,https://www.instagram.com/oostelsmarthostels,Restaurant Cafe,Coffee,,Restaurants,Yes,1,FALSE,NO
16,TRUE,Artesanias By Maritsa,Maritsa,Flores,mar.flores1983@hotmail.com,9981010875,9981010875,"Av Juárez 5, Centro - Supmza. 001, Local 31, Isla Mujeres, Q.R., Centro, 77400 Isla Mujeres, Q.R.",,"A local gem offering thoughtfully curated women’s pieces, beachwear, artisan crafts, and coastal treasures.",Isla Mujeres,https://maps.app.goo.gl/oD1bQnKjmv1sioPA6,"21.257507435543765, -86.74788429517452",25%,https://drive.google.com/file/d/1QISyUB7YdtS7Oj9wxoWIshf0OG9husR9/view?usp=drive_link,https://www.facebook.com/ArtesaniasByMaritsaFlores/,,Store Handicrafts,Handicrafts,,Stores,Yes,1,FALSE,NO
17,TRUE,Bacalari Hotel Riad Restaurante,lelisbeth,que,recepcion@bacalari.com.mx,9993629601,9993629601,"Calle 36 RG 2, Manzana 26 Lote 31, Mario Villanueva Madrid, 77930 Bacalar, Q.R.",https://bacalari.com.mx/restaurante/,"The eighth nuance of the lagoon, where flavors and rituals are a unique experience.",Bacalar,https://maps.app.goo.gl/ntoXcwP8p8R2h4dC8,"18.685387978456095, -88.38632592883641",complimentary drink,https://drive.google.com/file/d/148O7MhrAflDr7BwFVDapOUpUM0rg2nUS/view?usp=drive_link,https://www.facebook.com/RIADBacalari/,https://www.instagram.com/riadrestaurante/,International Restaurant,International,,Restaurants,Yes,1,FALSE,NO
18,TRUE,Bacalarcito,Vanesa,Piña,bacalarcito@gmail.com,9831042123,9831042123,"Av 5, Centro, 77930 Bacalar, Q.R.",,Handicraft shop,Bacalar,https://maps.app.goo.gl/xRhv9d3EeKXjYrMd8,"18.67750655829903, -88.39043241349077",10% discount ,https://drive.google.com/file/d/1V2JX3vm2fIXdon17AjuRmP6mnLhYXGOT/view?usp=drive_link,https://www.facebook.com/pg/Bacalarcito-100245511332594/posts/,,Store Handicrafts,Handicrafts,,Stores,Yes,1,FALSE,NO
19,TRUE,Bar la Veinte Bacalar,Esteban,Román ,barlaveintebacalar@gmail.com,6241759745,9831805775,"C. 20, Centro, 77930 Bacalar, Q.R.",,"Enjoy the best sporting events and cocktails, with drinks that come in doubles.",Bacalar,https://maps.app.goo.gl/iMGsEtY2Jyg3rYzA8,"18.67683158435776, -88.39043347301848",10% discount ,https://drive.google.com/file/d/1F9xvvWgrm5vmA-SCT2ej6pzbrbtASOfN/view?usp=drive_link,https://www.facebook.com/BarLaVeinteBacalar,https://www.instagram.com/barlaveintebacalar?fbclid=IwZXh0bgNhZW0CMTAAAR1DmpFX23HAwqtdqItcp-NSU_6VbOTr46fshgldDfbC4qHfdMRSdLNl9EQ_aem_Ad0PMz5px_3EcVNjN4HeJ3S6DyMzTyQcIps6NLfPfKAB0dQB2BtfNMmvv71PQSu_4YlvcwDn6r2GrW_vQ-ruCt0c,restaurant Bar,Bar,,Restaurants,Yes,1,FALSE,NO
20,TRUE,Bao Vegan,Héctor,Florencia,baovegancancun@gmail.com,9985236672,9985236672,"Local D del Hotel Coral, Av Sunyaxchen No. 30",https://vegantravel.guide/vegan-restaurants-in-cancun/,"Vegan restaurant, bakery and cafe",Cancún,https://maps.app.goo.gl/7yi5PK7Wgybs9Dfz7,"21.16281441272408, -86.83177008465435",10%,https://drive.google.com/file/d/163YYtP2ZpkOPUfc3LoKlu5gsl11R_ZIG/view?usp=drive_link,https://www.facebook.com/BaoVeganCancun/,https://www.instagram.com/baovegancancun/,"Restaurant Cafe, Vegan","Coffee, Vegan",,Restaurants,Yes,1,FALSE,NO
21,TRUE,Barber Shop J.P,Alexander,García,alex.wenses.julio@gmail.com,5562493494,5562493494,"Enfrente del súper aki de la Av. 30, Av. Lic. Pedro Joaquin Coldwell entre Av. Lic. Benito Juarez y Calle 2 Norte",https://booksy.com/es-mx/14794_barber-shop-j-p_barberos_345337_cozumel,men's spa,Cozumel,https://maps.app.goo.gl/RBbSedbuoLCjNs227,"20.507957218943645, -86.94426600792609",15% on cut + facial cleansing,https://drive.google.com/file/d/1e1xe3Zdt4nd2RD769Ctf4owkJMSE-OsB/view?usp=drive_link,https://www.facebook.com/profile.php?id=100091683369376,,Barbershop Service,Barbershop,Barbershop,Services,Yes,1,FALSE,NO
22,TRUE,Basico,Luis,Salazar,basicoholbox@outlook.com,5518292990,,"Esquina con, Tiburon Ballena, Av. Pedro Joaquín Coldwell, 77310 Holbox, Q.R.",,Mediterranean Cuisine ,Holbox,https://maps.app.goo.gl/9xYTvScbubxYSGVP9,"21.524319499807795, -87.3798457062425",10% discount,https://drive.google.com/file/d/1_vYQy0ghlAnwgEAUXRrNxSEoNYEhLir9/view?usp=drive_link,,https://www.instagram.com/holboxbasico/,Mediterranean Restaurant,Mediterranean,,Restaurants,Yes,1,FALSE,NO
23,TRUE,Batey - Mojito & Guarapo Bar ,Alberto,Maragno,bateytulum@gmail.com,9841842551,9841842551,Calle centauro sur tulum centro,,Cocktail Bar,Tulum,https://maps.app.goo.gl/6UxoRJQx37P8rc418?g_st=ic,"20.211945033877914, -87.45932751720055",10%,https://drive.google.com/file/d/1GRXd35q_BsHJBbRW5L-vGuqxmu_U_P-U/view?usp=drive_link,https://m.facebook.com/bateytulum/,https://www.instagram.com/bateytulum/?hl=es,Mexican Restaurant,Mexican Bar,,Restaurants,Yes,1,FALSE,NO
24,TRUE,Beauty Bar by Emma's,Alexandra,Rivera,Studiobyemmas@gmail.com,9981311876,9981311876,Av Carlos Nader Supermanzana 5 Manzana 5 Lote 4,,We make women feel confident and beautiful.,Cancún,https://maps.app.goo.gl/T4uey7rSWyxykqhk6,"21.16048729139743, -86.82425543859647",5 %,https://drive.google.com/file/d/12yBdny1THANxKrQRYPLemGnMrleVQ8bl/view?usp=drive_link,https://www.facebook.com/profile.php?id=100090999699242&mibextid=LQQJ4d,,Service Beauty salon,beauty salon,Manicure-Manicure,Stores,Yes,1,FALSE,NO
25,TRUE,Studio Beauty Expert,Brenda,Montes,beautyexpertholbox@gmail.com,9621375668,,"77310 Holbox, Quintana Roo",,Holbox Beauty Expert,Holbox,https://maps.app.goo.gl/HdxjcQ9vVU3Q4uBX9,"21.523573704057092, -87.3780236080974",10% discount,https://drive.google.com/file/d/18g-_ZSM5jVIPHUhSp_m1GxIZw-lllIZQ/view?usp=drive_link,,https://www.instagram.com/studio.beautyexpert/,Service Beauty Spa,Beauty Spa,Beauty Spa,Services,Yes,1,FALSE,NO
26,TRUE,Belleza y Relax,Camila,Sanchez,,5493544432321,5493544432321,avenida 45 entre calle 6bis y 8. Local 2. 77710 playa del carmen,,Beauty salon specializing in eyelashes and eyebrows,Playa del carmen,https://maps.app.goo.gl/77QciCzVMkVnsRdu7?g_st=iwb,"20.63034611459822, -87.0799915981451",20%,https://drive.google.com/file/d/1Aj_3RPvwkXaqqwEAuM09WpviBV-c2SlA/view?usp=drive_link,,https://www.instagram.com/bellezayrelaxx?igsh=dHdwa3BmN2JxaWhy,Service Beauty salon,beauty salon,Eyelashes and eyebrows,Services,Yes,1,FALSE,NO
27,TRUE,Bikeland,irvin,ramirez,bikelandholbox@gmail.com,5548685569,9842414984,bikelandholbox@gmail.com,,Bicycle rental in Holbox.,Holbox,https://maps.app.goo.gl/qtT42xwtTX3oftrg8,"21.523861949056588, -87.37817401534564",20% renting 24 hours,https://drive.google.com/file/d/12fyz9taEdTvcWvBvV8c52u75csmIetbP/view?usp=drive_link,https://www.facebook.com/bikelandholbox?locale=es_LA,https://www.instagram.com/bikelandholbox/,Bike Rental Service,Rental Bike,Rental Bike,Services,Yes,1,FALSE,NO
28,TRUE,Bio & Natural,Noemi,Perez,ventas@bio-natural.mx,9841888982,9841888982,5ta Av entre calles 40 y 42,https://bio-natural.mx,Organic store and restaurant,Playa del Carmen,https://maps.app.goo.gl/o5rjUGwZz4vZ6xs39?g_st=ic,"20.63672874555787, -87.0649371981451",10%,https://drive.google.com/file/d/1BuNighCfr6hN1pDIfijKUl2s3vjCwBnl/view?usp=drive_link,https://www.facebook.com/profile.php?id=100089727617646,https://www.instagram.com/bionaturalplaya?igsh=MWR1MmVndmpucmtrdw==,"Restaurant Breakfast, Vegan, Vegetarian","Breakfast, Vegan, Vegetarian",,Restaurants,Yes,1,FALSE,NO
29,TRUE,Blackfin Freediving,José,Salcedo,Info@blackfinfreediving.com,9842180001,984 276 4332,"90 Avenida Pte, Ejidal, 77712 Playa del Carmen, Q.R.",https://www.blackfinfreediving.com/,Freediving School - UWater Photo - Cenote Freediving & Adventures,Playa del Carmen,https://maps.app.goo.gl/hQ9FTV9Sn4axTyg5A,"20.637821535022283, -87.08752215835793",Souvenir photo/video,https://drive.google.com/file/d/1Bus0pD7k3ZnL17IcXQEe-taJPBE8ptcp/view?usp=drive_link,https://www.facebook.com/people/Blackfin-Freediving/100090289188354/?paipv=0&eav=AfZvRBVTQfjUFuf9SHi99NujYQekJDZLiJ_brT-OuFg1r94AENZbCI3c1Qx_AQAzYXc&_rdr,https://www.instagram.com/blackfinfreediving/?next=%2Fdr.carlabarber%2F&hl=es,Service Diving & Photography,Underwater Photos and Freediving Certification,Underwater Photos and Freediving Certification,Services,Yes,1,FALSE,NO
30,TRUE,Blackout Tatto,Axel,,axelmotoe73@gmail.com,984 253 1144,984 253 1144,Remoto,,Tattoo Service,Playa del carmen,,,15%,https://drive.google.com/file/d/1HfIFXI6PxGrkgT2ZSt3l38ZY8kLjiexe/view?usp=drive_link,https://www.facebook.com/share/pQ3KwdiT2PmRDutT/?mibextid=qi2Omg,https://www.instagram.com/black_out.tattoo?igsh=MWIycDJ4ZnEwb3VibQ==,Service Service,Service,Tattoos,Services,Yes,1,FALSE,NO
31,TRUE,Blissday Spa,Rosa,,citas@blissdayspacozumel.com,9871160219,9871160219,calle 1 entre 5ta y 10,https://www.blissdayspacozumel.com/,Pure Relax and Beauty,Cozumel,https://maps.app.goo.gl/6eEC6sM27irijsMbA,"20.509748929345974, -86.9488635079261",15 %,https://drive.google.com/file/d/1mwHU8zwQVcLDK0tsXzlLk65Xm9yjfK8_/view?usp=drive_link,https://www.facebook.com/BLISSDAYSPACOZUMEL/,https://www.instagram.com/blissdayspa_cozumel/,Service Tattoo Store,Tattoo Store,Spa,Services,Yes,1,FALSE,NO
32,TRUE,Botanero,Fernanda,Daniel,reservas@botaneronacional.com,5588038038,998 300 2421,Punta cancun zona hotelera 77500,,"Restaurant and bar, live music, exquisite food and drinks",Cancún,https://maps.app.goo.gl/bsy39SqJZT9dAUmW8,"21.133669675993282, -86.74686191349076",Shot per person,https://drive.google.com/file/d/1M0OL3x5s8yq3kCJg0fUkaS4-Dlxvdzxg/view?usp=drive_link,https://m.facebook.com/botaneronacional/,https://www.instagram.com/botaneronacional?igsh=MTUzNGVhZDV3c3JpYg==,restaurant Bar,Bar ,,Restaurants,Yes,1,FALSE,NO
33,TRUE,Calypso´s Restaurante,Felipe,May,calypsocancun@yahoo.com.mx <calypsocancun@yahoo.com.mx>,998 214 5393,9982145393,"Calypso's, near Selecto supermarket behind of the Aloft hotel, Plaza Parian, Accross from Xcaret office, Blvd. Kukulcan km 8.5, Zona Hotelera",,Mexican food and seafood restaurant,Cancún,https://maps.app.goo.gl/QNcuAz1KTZPAy9WKA,"21.135377922623263, -86.74738440318086",2x1 in drinks,https://drive.google.com/file/d/1R0KI2KnbzXiishI4eKUAyJ4xL9bgfVeD/view?usp=drive_link,https://www.facebook.com/profile.php?id=100057571744610&mibextid=LQQJ4d,https://www.instagram.com/calypsos_cancun/,Mexican Seafood Restaurant,Mexican Seafood,,Restaurants,Yes,1,FALSE,NO
34,TRUE,CAMPANELLA,Carlos,,campanellacremerie@hotmail.com,9841641307,984 871 2992,Av tulum manzana 5,https://www.campanellacremerie.com/,"Cafeteria, pastry, gelato, waffles, paninis.",Tulum,https://maps.app.goo.gl/KJgbLJREZ4oAmZZt5?g_st=ic,"20.210310443773757, -87.46629274418207",10%,https://drive.google.com/file/d/1V6AgNlJpjKdHtpR-Rx83UAQLCA1oy2W9/view?usp=drive_link,,https://www.instagram.com/campanellacremerie/un,Restaurant Cafe,Coffee,,Restaurants,No,1,FALSE,NO
35,TRUE,Carlito Burrito,Emanuel,,carlitoburritotulum@gmail.com,9983077918,9983077918,"Calle 7 sur y esquina 12, La Veleta",https://carlitoburrito.com/,Mexican and cocktail bar,Tulum,https://maps.app.goo.gl/s8teoFGhHwjDjPFM6?g_st=ic,"20.202591590898187, -87.47428297301849",Complimentary non-alcoholic drink,https://drive.google.com/file/d/1W1q6zIq20f45-tTh6gvI6w3tp8Tw4wEK/view?usp=drive_link,,https://www.instagram.com/carlitoburritotulum/,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
36,TRUE,Carmen Enchiladería,Sergio,Ahui,ahuirojas@gmail.com,9984858485,9984858485,"Avenida cancun 20-24, 77533 cancun quintana roo mexico",,The tastiest Veracruz snacks in the entire Mexican Caribbean.,Cancún,https://maps.app.goo.gl/CzQuiBQJWEig5LWS9?g_st=ic,"21.134005056297323, -86.84080000400151",2x1 drinks,https://drive.google.com/file/d/1v_QQuR8-3HvFRT0_YT2jx8-t30nxMRbS/view?usp=drive_link,https://m.facebook.com/CarmenEnchiladeria/,https://www.instagram.com/carmenenchiladeria?igsh=M3h2ZGt4OXZud2pz,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
37,TRUE,Caruso Hostaria Pizzeria,Alex,Trulli,carusowinebar@gmail.com,984 212 1777,984 212 1777,"Calle 26 Nte, entre Quinta avenida Avenida 10, Centro, 77710 Playa del Carmen, Q.R.",www.carusohostariapizzeria.com,"In the heart of Playa del Carmen, there is a corner of Italy where Italian tradition and the passion for good food merge to create unforgettable gastronomic experiences.",Playa del Carmen,https://maps.app.goo.gl/jrDaDE9PFhwWjZ4x5,"20.63305553549602, -87.06857583861739",20%,https://drive.google.com/file/d/1L-YtYYssLv2Etz4C3ZgVV_MG9d2g2ZGA/view?usp=drive_link,https://www.facebook.com/CarusoHostariaPizzeria?locale=es_LA,https://www.instagram.com/caruso_hostaria_pizzeria/,Restaurant Pizzeria,Pizza shop,,Restaurants,Yes,1,FALSE,NO
38,TRUE,Casa Cuzamil,William,Sukey,casacuzamil@gmail.com,9871135989,1(512)7873850,"5a Avenida Sur 16-166, Centro, 77600 Cozumel, Q.R.",,"Restaurant and sports bar. Delicious food, reasonable prices and excellent service.",Cozumel,https://maps.app.goo.gl/GuS8BssJ1ViUcrv17,"20.633176023243724, -87.06849000792609",Welcome margarita,https://drive.google.com/file/d/1wcScumUalgm68pfjhKrwgLYtwrjLKBDn/view?usp=drive_link,https://www.facebook.com/casacuzamilOfficial/,https://www.instagram.com/casacuzamil?igsh=NTkxODZicXA3dTQ=,Restaurant Sport bar,sports bar,,Restaurants,Yes,1,FALSE,NO
39,TRUE,Casa de Café y Té,diana,zamora,cafeytebacalar@outlook.com,9212807619,9212807619,"Blvd. Costero entre 34 y 36, Mario Villanueva Madrid, 77930 Bacalar, Q.R.",https://linktr.ee/casadecafeyte,"Coffee from Chiapas and Veracruz - Whole leaf tea - Artisanal chocolate",Bacalar,https://maps.app.goo.gl/f7Ze1QYmZymyhzQz7,"18.685647401713787, -88.38566280000002",10%,https://drive.google.com/file/d/1q2qmmgB8qX-IKzh5w7BpWA9sxlChpXOb/view?usp=drive_link,https://m.facebook.com/61553986105843/,https://www.instagram.com/casadecafeyte/?hl=es,Restaurant Cafe,Coffee,,Restaurants,Yes,1,FALSE,NO
41,TRUE,Cecina El Morelense,Ricardo,,Armenta0910@hotmail.com,9984208842,9984084657,"Xel-ha 24, 77509 Cancún, Q.R.",,"Business dedicated to the sale of jerky from Yecapixtla, Morelos, with its true artisanal touch",Cancún,https://maps.app.goo.gl/G1jfktUxxUzb3uww7?g_st=ic,"21.161175210345306, -86.83314735581794",10%,https://drive.google.com/file/d/1pzIit3ISyQNHckZpBGpJXLCCJ4Sm32ne/view?usp=drive_link,https://www.facebook.com/cecinacancun?mibextid=LQQJ4d,,Mexican Restaurant,Mexican,,Restaurants,Yes,1,FALSE,NO
42,TRUE,Cervecería Tres Mundos,Michael,Olsakovsky,molsakovsky1@gmail.com,984 177 2569,9841772569,"Calle 6 Norte entre Av 20 y Av 25, Playa del Carmen, Mexico",https://www.google.com/search?q=CERVECERIA+3+MUNDOS&rlz=1C1ALOY_esMX949MX949&oq=CER&gs_lcrp=EgZjaHJvbWUqCAgAEEUYJxg7MggIABBFGCcYOzIGCAEQRRg5MgcIAhAAGIAEMgcIAxAAGIAEMgcIBBAAGIAEMg0IBRAuGMcBGNEDGIAEMgcIBhAAGIAEMgcIBxAAGIAEMgcICBAAGIAEMgcICRAAGIAE0gEJMjU3MWowajE1qAIAsAIA&sourceid=chrome&ie=UTF-8,"Wrap yourself in the flavor of our craft beer and the warmth of the Caribbean, the perfect combination! We also offer you mezcals, cocktails, national beer, wings, burritos, tacos, board games, beautiful murals, and more!",Playa del Carmen,https://maps.app.goo.gl/rA6VcaPAnbFoqPby9,"20.627015154210167, -87.07654168314203",Monday and Friday national beer $25 pesos from 6pm-9pm,https://drive.google.com/file/d/1DyDS8tRodEKjul74rztYfU0UugZ6blFm/view?usp=drive_link,https://www.facebook.com/TresMundosCerveceria/reviews,https://www.instagram.com/cerveceria.tresmundos/,restaurant Bar,Bar,,Restaurants,,1,FALSE,NO
43,TRUE,Ceviche Corazon,Angelica,Iñigo Ordoñz,cevichecorazonpdc@gmail.com,2224179453,2224179453,Calle 54 con 5ta Avenida,,"Place of friends, good food, good vibes and attended with all the heart.",Playa del Carmen,https://maps.app.goo.gl/sRoW2AzcUknMULfw9?g_st=ic,"20.639779704799498, -87.06308070000001",10%,https://drive.google.com/file/d/1rvv3X_-sejjjh5lySasGEy_ct986hO5x/view?usp=drive_link,https://www.facebook.com/cevichecorazonplaya?mibextid=LQQJ4d,https://www.instagram.com/cevichecorazonpdc?igsh=MWF0MzhuNzl0cGxk,Restaurant Mariscos/Seafood,Seafood/Seafood,,Restaurants,Yes,1,FALSE,NO
44,TRUE,Chabad,Shirel,,,972524368390,972524368390,"calle guerrero #7 Y Matamoros, colonia centro, 77400 Isla Mujeres, Q.R.",,Kosher Food for Shabbat and Holidays in Isla Mujeres,Isla Mujeres,https://maps.app.goo.gl/dq3vJugQuGDtzRtD7?g_st=ic,"21.25834128616704, -86.74829945767283",2x1 falafel,https://drive.google.com/file/d/1v208bMkSMJjY4B-4HgywNSjdUdNsn5u2/view?usp=drive_link,,https://www.instagram.com/chabadisla?igsh=Ym40d3J4MHp4MDdq,Restaurant Mediterraneo/kosher,Mediterranean/kosher,,Restaurants,Yes,1,FALSE,NO
45,TRUE,Champions Burger,Edgar,Herrera,championsburgueroficial@gmail.com,9992931749,9992931749,Av huayacan local 11. 77533. Plaza murano,,Super delicious!,Cancún,https://maps.app.goo.gl/qYxNqDiiweaGFJ6X9,"21.121049001124373, -86.8441806693087",Welcome taquechampions,https://drive.google.com/file/d/1XawsJ6ScO0RCXpb5XgRijPXtGB7-QU_t/view?usp=drive_link,https://www.facebook.com/Championsburguerpiedecuesta?mibextid=LQQJ4d,https://www.instagram.com/championsburger_mx?igsh=MzR5NGtlbzIwcmpl,Restaurant Grill Birria,"Birreria, Parrilla - grill, hamburger restaurant",,Restaurants,Yes,1,FALSE,NO
